image_id,gold_date,previous_prediction,highres_prediction,previous_candidate_count,highres_candidate_count,recovered_candidate,recovered_exact_match,elapsed_seconds,file_name,ocr_seconds,input_width,input_height
2814,2021-04-02,NONE-NONE-NONE,NONE-NONE-NONE,0,0,False,False,0.7793499000254087,002814.jpg,0.7615537000237964,640,640
2870,2021-02-25,NONE-NONE-NONE,2021-02-25,0,1,True,True,2.8805836000246927,002870.jpg,2.8397832000046037,873,1164
2899,2021-11-09,NONE-NONE-NONE,NONE-NONE-NONE,0,0,False,False,0.7336051000165753,002899.jpg,0.7242060999851674,640,640
2927,NONE-04-08,NONE-NONE-NONE,NONE-NONE-NONE,0,0,False,False,2.032132400025148,002927.jpg,1.8435915999580175,960,1280
3004,2023-05-NONE,NONE-NONE-NONE,NONE-NONE-NONE,0,0,False,False,3.8811957000289112,003004.jpg,3.779661100008525,960,1280
3014,2021-06-12,NONE-NONE-NONE,NONE-NONE-NONE,0,0,False,False,0.9649901000084355,003014.jpg,0.9496545000001788,640,640
3228,2022-04-26,NONE-NONE-NONE,NONE-NONE-NONE,0,0,False,False,0.6964510999969207,003228.jpg,0.6802071999991313,640,640
3277,NONE-04-05,NONE-NONE-NONE,NONE-NONE-NONE,0,0,False,False,3.9037987000192516,003277.jpg,3.7352571999654174,960,1280
3312,2021-03-11,NONE-NONE-NONE,NONE-NONE-NONE,0,0,False,False,0.7346663000062108,003312.jpg,0.7166137999738567,640,640
3326,2024-06-05,NONE-NONE-NONE,NONE-NONE-NONE,0,0,False,False,2.4179444999899715,003326.jpg,2.256782500015106,960,1280
3338,2021-06-01,NONE-NONE-NONE,NONE-NONE-NONE,0,0,False,False,2.038042599975597,003338.jpg,2.0257496999693103,640,640
