file_name,image_id,true_year,true_month,true_day,true_final_date,pred_year,pred_month,pred_day,pred_final_date,year_correct,month_correct,day_correct,final_date_correct,selected_method,date_candidate_found,failure_stage,attempted_methods,fallback_processing_seconds
001642.jpg,1642,2022,03,19,2022-03-19,NONE,NONE,NONE,NONE-NONE-NONE,False,False,False,False,original_no_candidate,False,ocr_boxes_no_date_candidate,"[""original_512"", ""rotation_270"", ""highres_1024"", ""clahe""]",2.751262999998289
001823.jpg,1823,2021,06,09,2021-06-09,NONE,NONE,NONE,NONE-NONE-NONE,False,False,False,False,original_no_candidate,False,ocr_boxes_no_date_candidate,"[""original_512"", ""rotation_270"", ""highres_1024"", ""clahe""]",2.4299759999848902
001851.jpg,1851,2021,12,16,2021-12-16,NONE,NONE,NONE,NONE-NONE-NONE,False,False,False,False,original_no_candidate,False,ocr_boxes_no_date_candidate,"[""original_512"", ""rotation_270"", ""highres_1024"", ""clahe""]",2.732456200013985
001955.jpg,1955,2021,10,NONE,2021-10-NONE,NONE,NONE,NONE,NONE-NONE-NONE,False,False,True,False,original_no_candidate,False,ocr_boxes_no_date_candidate,"[""original_512"", ""rotation_270"", ""highres_1024"", ""clahe""]",16.915242100003525
001982.jpg,1982,2021,10,20,2021-10-20,NONE,NONE,NONE,NONE-NONE-NONE,False,False,False,False,original_no_candidate,False,ocr_boxes_no_date_candidate,"[""original_512"", ""rotation_270"", ""highres_1024"", ""clahe""]",2.1730195000127424
002011.jpg,2011,2020,06,30,2020-06-30,NONE,NONE,NONE,NONE-NONE-NONE,False,False,False,False,original_no_candidate,False,ocr_boxes_no_date_candidate,"[""original_512"", ""rotation_270"", ""highres_1024"", ""clahe""]",2.132077600006596
002062.jpg,2062,2023,02,NONE,2023-02-NONE,NONE,NONE,NONE,NONE-NONE-NONE,False,False,True,False,original_no_candidate,False,ocr_boxes_no_date_candidate,"[""original_512"", ""rotation_270"", ""highres_1024"", ""clahe""]",3.737297400002717
002251.jpg,2251,2021,05,09,2021-05-09,NONE,NONE,NONE,NONE-NONE-NONE,False,False,False,False,original_no_candidate,False,ocr_boxes_no_date_candidate,"[""original_512"", ""rotation_270"", ""highres_1024"", ""clahe""]",3.9663416999974292
002258.jpg,2258,2022,01,24,2022-01-24,NONE,NONE,NONE,NONE-NONE-NONE,False,False,False,False,original_no_candidate,False,ocr_boxes_no_date_candidate,"[""original_512"", ""rotation_270"", ""highres_1024"", ""clahe""]",2.593313599994872
002278.jpg,2278,2023,07,NONE,2023-07-NONE,NONE,NONE,NONE,NONE-NONE-NONE,False,False,True,False,original_no_candidate,False,ocr_boxes_no_date_candidate,"[""original_512"", ""rotation_270"", ""highres_1024"", ""clahe""]",1.6659107000014046
002404.jpg,2404,2020,11,11,2020-11-11,NONE,NONE,NONE,NONE-NONE-NONE,False,False,False,False,original_no_candidate,False,ocr_boxes_no_date_candidate,"[""original_512"", ""rotation_270"", ""highres_1024"", ""clahe""]",2.198824599996442
002436.jpg,2436,2021,06,03,2021-06-03,NONE,NONE,NONE,NONE-NONE-NONE,False,False,False,False,original_no_candidate,False,ocr_boxes_no_date_candidate,"[""original_512"", ""rotation_270"", ""highres_1024"", ""clahe""]",10.991162400008761
002492.jpg,2492,2022,08,09,2022-08-09,NONE,NONE,NONE,NONE-NONE-NONE,False,False,False,False,original_no_candidate,False,ocr_boxes_no_date_candidate,"[""original_512"", ""rotation_270"", ""highres_1024"", ""clahe""]",4.047621699995943
002586.jpg,2586,2022,12,NONE,2022-12-NONE,NONE,NONE,NONE,NONE-NONE-NONE,False,False,True,False,original_no_candidate,False,ocr_boxes_no_date_candidate,"[""original_512"", ""rotation_270"", ""highres_1024"", ""clahe""]",8.147402500006137
002814.jpg,2814,2021,04,02,2021-04-02,NONE,NONE,NONE,NONE-NONE-NONE,False,False,False,False,original_no_candidate,False,ocr_boxes_no_date_candidate,"[""original_512"", ""rotation_270"", ""highres_1024"", ""clahe""]",2.389438500002143
002870.jpg,2870,2021,02,25,2021-02-25,NONE,NONE,NONE,NONE-NONE-NONE,False,False,False,False,original_no_candidate,False,ocr_boxes_no_date_candidate,"[""original_512"", ""rotation_270"", ""highres_1024"", ""clahe""]",3.3892136999929794
002899.jpg,2899,2021,11,09,2021-11-09,NONE,NONE,NONE,NONE-NONE-NONE,False,False,False,False,original_no_candidate,False,ocr_boxes_no_date_candidate,"[""original_512"", ""rotation_270"", ""highres_1024"", ""clahe""]",2.4203815000219038
002927.jpg,2927,NONE,04,08,NONE-04-08,NONE,NONE,NONE,NONE-NONE-NONE,True,False,False,False,original_no_candidate,False,ocr_boxes_no_date_candidate,"[""original_512"", ""rotation_270"", ""highres_1024"", ""clahe""]",4.19308599998476
003004.jpg,3004,2023,05,NONE,2023-05-NONE,NONE,NONE,NONE,NONE-NONE-NONE,False,False,True,False,original_no_candidate,False,ocr_boxes_no_date_candidate,"[""original_512"", ""rotation_270"", ""highres_1024"", ""clahe""]",6.838252100002137
003014.jpg,3014,2021,06,12,2021-06-12,NONE,NONE,NONE,NONE-NONE-NONE,False,False,False,False,original_no_candidate,False,ocr_boxes_no_date_candidate,"[""original_512"", ""rotation_270"", ""highres_1024"", ""clahe""]",2.9156266000209143
003228.jpg,3228,2022,04,26,2022-04-26,NONE,NONE,NONE,NONE-NONE-NONE,False,False,False,False,original_no_candidate,False,ocr_boxes_no_date_candidate,"[""original_512"", ""rotation_270"", ""highres_1024"", ""clahe""]",1.3781738000252517
003277.jpg,3277,NONE,04,05,NONE-04-05,NONE,NONE,NONE,NONE-NONE-NONE,True,False,False,False,original_no_candidate,False,ocr_boxes_no_date_candidate,"[""original_512"", ""rotation_270"", ""highres_1024"", ""clahe""]",6.171918000021833
003312.jpg,3312,2021,03,11,2021-03-11,NONE,NONE,NONE,NONE-NONE-NONE,False,False,False,False,original_no_candidate,False,ocr_boxes_no_date_candidate,"[""original_512"", ""rotation_270"", ""highres_1024"", ""clahe""]",2.3302098999993177
003326.jpg,3326,2024,06,05,2024-06-05,NONE,NONE,NONE,NONE-NONE-NONE,False,False,False,False,original_no_candidate,False,ocr_boxes_no_date_candidate,"[""original_512"", ""rotation_270"", ""highres_1024"", ""clahe""]",8.036626900007832
003338.jpg,3338,2021,06,01,2021-06-01,NONE,NONE,NONE,NONE-NONE-NONE,False,False,False,False,original_no_candidate,False,ocr_boxes_no_date_candidate,"[""original_512"", ""rotation_270"", ""highres_1024"", ""clahe""]",11.81409299999359
